Site,Station,Region,Region2,Fjord,Fjord2,In.Out,Date,Time ,Depth [m],Volume [L],Latitude,Longitude,Temperature [∞C],Salinity [psu],density,O2umol.l,O sat. [%],Attenuation (optical beam transmission),Fluorometer,PO4_umol.l,Si_umol.l,NO2_umol.l,NO3_umol.l,NH4_umol.l,Glacial influence,Bioclimatic_subzone
HE533.Euk.F02.25A_S67,HE533.F02.25A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,1,03.06.2019,08:00,0-40 pooled,12,70.5119,28.0784,4.31,33.04,26.2,321,98.43,93.16,0.52,0.24,5.16,0.1,3.19,0.8,No,subarctic
HE533.Euk.F02.25B_S68,HE533.F02.25B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,1,03.06.2019,08:00,0-40 pooled,12,70.5119,28.0784,4.31,33.04,26.2,321,98.43,93.16,0.52,0.24,5.16,0.1,3.19,0.8,No,subarctic
HE533.Euk.F02.25C_S69,HE533.F02.25C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,1,03.06.2019,08:00,0-40 pooled,12,70.5119,28.0784,4.31,33.04,26.2,321,98.43,93.16,0.52,0.24,5.16,0.1,3.19,0.8,No,subarctic
HE533.Euk.F02.26A_S70,HE533.F02.26A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,03.06.2019,18:00,0-40 pooled,12,70.7005,28.4502,4.32,33.81,26.81,319.63,98.53,93.8,0.62,0.27,3.98,0.11,3.24,0.68,No,subarctic
HE533.Euk.F02.26B_S71,HE533.F02.26B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,03.06.2019,18:00,0-40 pooled,12,70.7005,28.4502,4.32,33.81,26.81,319.63,98.53,93.8,0.62,0.27,3.98,0.11,3.24,0.68,No,subarctic
HE533.Euk.F02.26C_S72,HE533.F02.26C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,03.06.2019,18:00,0-40 pooled,12,70.7005,28.4502,4.32,33.81,26.81,319.63,98.53,93.8,0.62,0.27,3.98,0.11,3.24,0.68,No,subarctic
HE533.Euk.F02.27A_S73,HE533.F02.27A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,04.06.2019,08:00,0-40 pooled,12,70.8681,28.7054,4.68,33.72,26.7,321.61,99.95,93.88,0.52,0.34,3.26,0.12,3.32,1.09,No,subarctic
HE533.Euk.F02.27B_S74,HE533.F02.27B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,04.06.2019,08:00,0-40 pooled,12,70.8681,28.7054,4.68,33.72,26.7,321.61,99.95,93.88,0.52,0.34,3.26,0.12,3.32,1.09,No,subarctic
HE533.Euk.F02.27C_S75,HE533.F02.27C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,04.06.2019,08:00,0-40 pooled,12,70.8681,28.7054,4.68,33.72,26.7,321.61,99.95,93.88,0.52,0.34,3.26,0.12,3.32,1.09,No,subarctic
HE533.Euk.F02.28A_S76,HE533.F02.28A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,0,04.06.2019,12:00,0-40 pooled,12,71.0284,28.8202,5.32,34.23,27.03,327.55,103.74,92.29,1.67,0.26,2.1,0.14,3.18,0.69,No,subarctic
HE533.Euk.F02.28B_S77,HE533.F02.28B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,0,04.06.2019,12:00,0-40 pooled,12,71.0284,28.8202,5.32,34.23,27.03,327.55,103.74,92.29,1.67,0.26,2.1,0.14,3.18,0.69,No,subarctic
HE533.Euk.F02.28C_S78,HE533.F02.28C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,0,04.06.2019,12:00,0-40 pooled,12,71.0284,28.8202,5.32,34.23,27.03,327.55,103.74,92.29,1.67,0.26,2.1,0.14,3.18,0.69,No,subarctic
HE533.Euk.F02.21A_S58,HE533.F02.21A,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,08:00,0-40 pooled,12,70.4729,26.6765,3.16,33.97,27.01,323.44,97.91,95.65,0.32,0.25,1.22,0.09,2.64,0.63,No,subarctic
HE533.Euk.F02.21B_S59,HE533.F02.21B,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,08:00,0-40 pooled,12,70.4729,26.6765,3.16,33.97,27.01,323.44,97.91,95.65,0.32,0.25,1.22,0.09,2.64,0.63,No,subarctic
HE533.Euk.F02.21C_S60,HE533.F02.21C,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,08:00,0-40 pooled,12,70.4729,26.6765,3.16,33.97,27.01,323.44,97.91,95.65,0.32,0.25,1.22,0.09,2.64,0.63,No,subarctic
HE533.Euk.F02.22A_S61,HE533.F02.22A,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,13:00,0-40 pooled,12,70.6751,26.7865,4.1,33.76,26.79,339.86,104.17,93.06,0.83,0.19,0.55,0.05,1.34,0.85,No,subarctic
HE533.Euk.F02.22B_S62,HE533.F02.22B,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,13:00,0-40 pooled,12,70.6751,26.7865,4.1,33.76,26.79,339.86,104.17,93.06,0.83,0.19,0.55,0.05,1.34,0.85,No,subarctic
HE533.Euk.F02.22C_S63,HE533.F02.22C,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,13:00,0-40 pooled,12,70.6751,26.7865,4.1,33.76,26.79,339.86,104.17,93.06,0.83,0.19,0.55,0.05,1.34,0.85,No,subarctic
HE533.Euk.F02.23A_S64,HE533.F02.23A,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,02.06.2019,03:00,0-40 pooled,12,70.8592,27.2751,4.09,33.76,26.79,335.55,102.81,93.46,0.99,0.17,0.94,0.05,1.33,0.63,No,subarctic
HE533.Euk.F02.23B_S65,HE533.F02.23B,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,02.06.2019,03:00,0-40 pooled,12,70.8592,27.2751,4.09,33.76,26.79,335.55,102.81,93.46,0.99,0.17,0.94,0.05,1.33,0.63,No,subarctic
HE533.Euk.F02.23C_S66,HE533.F02.23C,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,02.06.2019,03:00,0-40 pooled,12,70.8592,27.2751,4.09,33.76,26.79,335.55,102.81,93.46,0.99,0.17,0.94,0.05,1.33,0.63,No,subarctic
HE533.Euk.F02.17A_S46,HE533.F02.17A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,1,30.05.2019,08:00,0-40 pooled,12,70.2668,25.1665,2.85,33.41,26.63,338.44,100.35,89,3.7,0.21,1.75,0.06,2.11,0.36,No,subarctic
HE533.Euk.F02.17B_S47,HE533.F02.17B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,1,30.05.2019,08:00,0-40 pooled,12,70.2668,25.1665,2.85,33.41,26.63,338.44,100.35,89,3.7,0.21,1.75,0.06,2.11,0.36,No,subarctic
HE533.Euk.F02.17C_S48,HE533.F02.17C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,1,30.05.2019,08:00,0-40 pooled,12,70.2668,25.1665,2.85,33.41,26.63,338.44,100.35,89,3.7,0.21,1.75,0.06,2.11,0.36,No,subarctic
HE533.Euk.F02.18A_S49,HE533.F02.18A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,30.05.2019,13:00,0-40 pooled,12,70.5125,25.4622,3.55,33.69,26.79,347.14,104.89,94.16,1.26,0.21,8.49,0.06,2.3,0.91,No,subarctic
HE533.Euk.F02.18B_S50,HE533.F02.18B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,30.05.2019,13:00,0-40 pooled,12,70.5125,25.4622,3.55,33.69,26.79,347.14,104.89,94.16,1.26,0.21,8.49,0.06,2.3,0.91,No,subarctic
HE533.Euk.F02.18C_S51,HE533.F02.18C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,30.05.2019,13:00,0-40 pooled,12,70.5125,25.4622,3.55,33.69,26.79,347.14,104.89,94.16,1.26,0.21,8.49,0.06,2.3,0.91,No,subarctic
HE533.Euk.F02.19A_S52,HE533.F02.19A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,31.05.2019,08:00,0-40 pooled,12,70.7384,25.9076,4.41,33.61,26.64,333.39,102.86,94.02,0.56,0.18,1.14,0.05,1.7,0.84,No,subarctic
HE533.Euk.F02.19B_S53,HE533.F02.19B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,31.05.2019,08:00,0-40 pooled,12,70.7384,25.9076,4.41,33.61,26.64,333.39,102.86,94.02,0.56,0.18,1.14,0.05,1.7,0.84,No,subarctic
HE533.Euk.F02.19C_S54,HE533.F02.19C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,31.05.2019,08:00,0-40 pooled,12,70.7384,25.9076,4.41,33.61,26.64,333.39,102.86,94.02,0.56,0.18,1.14,0.05,1.7,0.84,No,subarctic
HE533.Euk.F02.20A_S55,HE533.F02.20A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,0,31.05.2019,13:00,0-40 pooled,12,70.9216,26.2514,4.72,33.99,26.9,330.87,103.12,93.48,0.83,0.18,1.62,0.06,1.84,0.69,No,subarctic
HE533.Euk.F02.20B_S56,HE533.F02.20B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,0,31.05.2019,13:00,0-40 pooled,12,70.9216,26.2514,4.72,33.99,26.9,330.87,103.12,93.48,0.83,0.18,1.62,0.06,1.84,0.69,No,subarctic
HE533.Euk.F02.20C_S57,HE533.F02.20C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,0,31.05.2019,13:00,0-40 pooled,12,70.9216,26.2514,4.72,33.99,26.9,330.87,103.12,93.48,0.83,0.18,1.62,0.06,1.84,0.69,No,subarctic
HE533.Euk.F02.11A_S28,HE533.F02.11A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,0,27.05.2019,08:00,0-40 pooled,12,70.2858,19.4151,5.71,34.28,27.02,309.73,99.05,92.88,0.94,0.34,2.14,0.15,3.76,0.48,No,subarctic
HE533.Euk.F02.11B_S29,HE533.F02.11B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,0,27.05.2019,08:00,0-40 pooled,12,70.2858,19.4151,5.71,34.28,27.02,309.73,99.05,92.88,0.94,0.34,2.14,0.15,3.76,0.48,No,subarctic
HE533.Euk.F02.11C_S30,HE533.F02.11C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,0,27.05.2019,08:00,0-40 pooled,12,70.2858,19.4151,5.71,34.28,27.02,309.73,99.05,92.88,0.94,0.34,2.14,0.15,3.76,0.48,No,subarctic
HE533.Euk.F02.12A_S31,HE533.F02.12A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,13:00,0-40 pooled,12,70.0965,19.6279,5.72,33.95,26.76,333.77,106.55,86.18,2.12,0.36,2.06,0.09,3.04,0.51,No,subarctic
HE533.Euk.F02.12B_S32,HE533.F02.12B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,13:00,0-40 pooled,12,70.0965,19.6279,5.72,33.95,26.76,333.77,106.55,86.18,2.12,0.36,2.06,0.09,3.04,0.51,No,subarctic
HE533.Euk.F02.12C_S33,HE533.F02.12C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,13:00,0-40 pooled,12,70.0965,19.6279,5.72,33.95,26.76,333.77,106.55,86.18,2.12,0.36,2.06,0.09,3.04,0.51,No,subarctic
HE533.Euk.F02.13A_S34,HE533.F02.13A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,18:00,0-40 pooled,12,70.0748,20.1181,5.89,34.11,26.86,327.38,105.03,88.25,2.5,0.25,1.55,0.08,1.96,0.25,No,subarctic
HE533.Euk.F02.13C_S36,HE533.F02.13C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,18:00,0-40 pooled,12,70.0748,20.1181,5.89,34.11,26.86,327.38,105.03,88.25,2.5,0.25,1.55,0.08,1.96,0.25,No,subarctic
HE533.Euk.F02.14A_S37,HE533.F02.14A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,1,28.05.2019,08:00,0-40 pooled,12,69.3617,20.0709,5.33,32.86,25.94,288.16,90.59,91.9,0.63,0.38,4.12,0.07,4.6,0.22,No,subarctic
HE533.Euk.F02.14B_S38,HE533.F02.14B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,1,28.05.2019,08:00,0-40 pooled,12,69.3617,20.0709,5.33,32.86,25.94,288.16,90.59,91.9,0.63,0.38,4.12,0.07,4.6,0.22,No,subarctic
HE533.Euk.F02.14C_S39,HE533.F02.14C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,1,28.05.2019,08:00,0-40 pooled,12,69.3617,20.0709,5.33,32.86,25.94,288.16,90.59,91.9,0.63,0.38,4.12,0.07,4.6,0.22,No,subarctic
HE533.Euk.F02.15A_S40,HE533.F02.15A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,13:00,0-40 pooled,12,69.5947,20.346,4.94,33.94,26.4,322.1,100.57,93,1.08,0.39,2.29,0.07,3.16,0.48,No,subarctic
HE533.Euk.F02.15B_S41,HE533.F02.15B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,13:00,0-40 pooled,12,69.5947,20.346,4.94,33.94,26.4,322.1,100.57,93,1.08,0.39,2.29,0.07,3.16,0.48,No,subarctic
HE533.Euk.F02.15C_S42,HE533.F02.15C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,13:00,0-40 pooled,12,69.5947,20.346,4.94,33.94,26.4,322.1,100.57,93,1.08,0.39,2.29,0.07,3.16,0.48,No,subarctic
HE533.Euk.F02.16A_S43,HE533.F02.16A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,18:00,0-40 pooled,12,69.8249,20.462,4.87,33.4,26.42,326.97,101.94,93.15,0.83,0.29,1.58,0.06,2.31,0.57,No,subarctic
HE533.Euk.F02.16B_S44,HE533.F02.16B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,18:00,0-40 pooled,12,69.8249,20.462,4.87,33.4,26.42,326.97,101.94,93.15,0.83,0.29,1.58,0.06,2.31,0.57,No,subarctic
HE533.Euk.F02.16C_S45,HE533.F02.16C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,18:00,0-40 pooled,12,69.8249,20.462,4.87,33.4,26.42,326.97,101.94,93.15,0.83,0.29,1.58,0.06,2.31,0.57,No,subarctic
HE533.Euk.F02.07A_S16,HE533.F02.7A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,0,25.05.2019,08:00,0-40 pooled,12,69.6376,17.7832,5.84,34.04,26.82,311.04,99.61,90.8,1.35,0.26,2.47,0.11,2.54,0.65,No,subarctic
HE533.Euk.F02.07B_S17,HE533.F02.7B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,0,25.05.2019,08:00,0-40 pooled,12,69.6376,17.7832,5.84,34.04,26.82,311.04,99.61,90.8,1.35,0.26,2.47,0.11,2.54,0.65,No,subarctic
HE533.Euk.F02.07C_S18,HE533.F02.7C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,08:00,0-40 pooled,12,69.6376,17.7832,5.84,34.04,26.82,311.04,99.61,90.8,1.35,0.26,2.47,0.11,2.54,0.65,No,subarctic
HE533.Euk.F02.08A_S19,HE533.F02.8A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,13:00,0-40 pooled,12,69.5092,18.3193,5.49,33.64,26.54,311.14,98.56,90.93,1.4,0.35,2.86,0.13,4.27,0.52,No,subarctic
HE533.Euk.F02.08B_S20,HE533.F02.8B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,13:00,0-40 pooled,12,69.5092,18.3193,5.49,33.64,26.54,311.14,98.56,90.93,1.4,0.35,2.86,0.13,4.27,0.52,No,subarctic
HE533.Euk.F02.08C_S21,HE533.F02.8C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,25.05.2019,13:00,0-40 pooled,12,69.5092,18.3193,5.49,33.64,26.54,311.14,98.56,90.93,1.4,0.35,2.86,0.13,4.27,0.52,No,subarctic
HE533.Euk.F02.09A_S22,HE533.F02.9A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,1,26.05.2019,08:00,0-40 pooled,12,69.2602,19.3616,5,32.05,25.33,352.88,109.36,77.3,3.32,0.18,3.11,0.55,0.84,0.42,No,subarctic
HE533.Euk.F02.09B_S23,HE533.F02.9B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,1,26.05.2019,08:00,0-40 pooled,12,69.2602,19.3616,5,32.05,25.33,352.88,109.36,77.3,3.32,0.18,3.11,0.55,0.84,0.42,No,subarctic
HE533.Euk.F02.09C_S24,HE533.F02.9C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,1,26.05.2019,08:00,0-40 pooled,12,69.2602,19.3616,5,32.05,25.33,352.88,109.36,77.3,3.32,0.18,3.11,0.55,0.84,0.42,No,subarctic
HE533.Euk.F02.10A_S25,HE533.F02.10A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,26.05.2019,14:00,0-40 pooled,12,69.428,19.0239,5.28,32.7,25.82,335.44,105.26,74.16,7.84,0.23,3.39,0.07,2.13,0.22,No,subarctic
HE533.Euk.F02.10B_S26,HE533.F02.10B,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,26.05.2019,14:00,0-40 pooled,12,69.428,19.0239,5.28,32.7,25.82,335.44,105.26,74.16,7.84,0.23,3.39,0.07,2.13,0.22,No,subarctic
HE533.Euk.F02.10C_S27,HE533.F02.10C,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,26.05.2019,14:00,0-40 pooled,12,69.428,19.0239,5.28,32.7,25.82,335.44,105.26,74.16,7.84,0.23,3.39,0.07,2.13,0.22,No,subarctic
HE431.Euk.F02.02_S80,HE431.F02.02,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,23.08.2014,16:48,3m-30m,12.5,69.0835,15.2643,8.13,34.02,26.48,262.58,88.69,92.38,0.68,,5.12,0.08,0.35,2.41,No,subarctic
HE431.Euk.F02.03_S81,HE431.F02.03,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,04:33,3m-30m,12.5,68.7867,15.4055,9.26,33.74,26.09,270.64,93.59,92.2,0.88,1.31,0.12,0.19,1.59,0.54,No,subarctic
HE431.Euk.F02.04_S82,HE431.F02.04,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,08:45,3m-30m,12.5,68.4748,14.915,9.33,33.83,26.14,278.8,95.24,91.01,1.37,2.06,0.16,0.22,1.99,0.5,No,subarctic
HE431.Euk.F02.05_S83,HE431.F02.05,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,12:36,3m-30m,12.5,68.4528,14.5467,9.31,33.86,26.17,274.14,94.98,91.46,1.16,1.87,0.07,0.27,2.15,0.12,No,subarctic
HE431.Euk.F02.06_S84,HE431.F02.06,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,24.08.2014,16:57,3m-30m,12.5,68.549,14.4468,9.98,33.79,26.01,271.96,95.5,91.57,1.13,1.21,0.13,0.16,1.74,0.64,No,subarctic
HE431.Euk.F02.07_S85,HE431.F02.07,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,25.08.2014,06:07,3m-30m,12.5,68.7172,15.0842,8.71,33.88,26.39,286.53,96.48,92.44,0.86,0.75,0.14,0.19,1.41,0.6,No,subarctic
HE431.Euk.F02.08_S86,HE431.F02.08,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,25.08.2014,10:49,3m-30m,12.5,68.6763,14.9308,8.32,33.88,26.34,285.5,96.74,92.25,0.7,0.98,0.11,0.23,1.5,0.51,No,subarctic
HE431.Euk.F02.09_S87,HE431.F02.09,North.Norway,North.Norway.HE431,Lofoten,Lofoten.HE431,3,25.08.2014,14:42,3m-30m,12.5,68.6163,14.6773,9.07,33.86,26.21,279.2,96.18,91.35,1.34,1.77,0.13,0.22,4.33,0.38,No,subarctic
HE533.Euk.F02.04A_S7,HE533.F02.4A,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,08:00,0-40 pooled,12,68.6792,15.433,5.45,33.88,26.73,309.01,97.96,90.96,0.99,0.27,1.46,0.12,2.4,0.81,No,subarctic
HE533.Euk.F02.04B_S8,HE533.F02.4B,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,08:00,0-40 pooled,12,68.6792,15.433,5.45,33.88,26.73,309.01,97.96,90.96,0.99,0.27,1.46,0.12,2.4,0.81,No,subarctic
HE533.Euk.F02.04C_S9,HE533.F02.4C,North.Norway,North.Norway.HE533,Lofoten,Lofoten.HE33,3,24.05.2019,08:00,0-40 pooled,12,68.6792,15.433,5.45,33.88,26.73,309.01,97.96,90.96,0.99,0.27,1.46,0.12,2.4,0.81,No,subarctic
